,district,size,floor,registration,heating,rooms,parking,balcony,state,price
20894,Rakovica,142.0,1.0,True,"Klima, Centralno",4.0,True,True,Standardna gradnja,94000
20933,Beograd na vodi,55.0,22.0,True,"Klima, Centralno",2.0,True,True,Novogradnja,225000
20934,Savski trg,66.0,4.0,True,"Klima, Centralno",2.0,False,True,Izvorno stanje,150000
20938,Čubura,56.0,4.0,False,"Klima, Centralno",2.0,True,False,Izvorno stanje,115000
20943,Crveni krst,36.0,2.0,True,"Klima, Ostalo",2.0,False,False,Standardna gradnja,89000
20944,Banovo brdo,68.0,1.0,True,"Klima, Ostalo",3.0,True,True,U izgradnji,132600
20946,Centar (uži),62.0,3.0,True,Ostalo,2.0,False,True,Izvorno stanje,119000
20947,Lion,57.0,2.0,True,"Klima, Centralno",2.0,False,False,Standardna gradnja,115000
20948,Kalenić pijaca,70.0,2.0,True,"Klima, Centralno",2.0,False,True,Izvorno stanje,150000
20949,Cvetni trg,82.0,0.0,True,Centralno,2.0,False,True,Izvorno stanje,220000
20950,Poštanska štedionica,50.0,4.0,True,"Klima, Centralno",2.0,False,True,Izvorno stanje,108000
20951,Vračar (Hram),78.0,3.0,True,Ostalo,2.0,False,True,Izvorno stanje,160000
20952,Kotež,55.0,1.0,False,Ostalo,2.0,False,False,Standardna gradnja,35750
20976,Bulbuder,58.0,2.0,False,Centralno,3.0,False,False,Novogradnja,133400
21013,Ledine,32.0,1.0,True,Etažno,1.0,True,True,Novogradnja,44700
21022,Ledine,61.0,2.0,True,Etažno,3.0,True,True,Novogradnja,81700
21053,Učiteljsko naselje,62.0,1.0,True,"Klima, Centralno",3.0,False,True,Novogradnja,120000
21054,Zemun (Save Kovačevića),77.0,7.0,True,"Klima, Centralno",3.0,False,True,Izvorno stanje,133000
21055,Stari Grad,84.0,4.0,True,Ostalo,3.0,False,True,Izvorno stanje,220000
21056,Žarkovo,56.0,0.0,True,"Klima, Centralno",3.0,False,True,Novogradnja,78000
21057,Voždovac,78.0,2.0,True,"Klima, Ostalo",3.0,True,True,Novogradnja,150000
21058,Novi Beograd Blok 33 (Genex kula),70.0,20.0,True,"Klima, Centralno",3.0,False,False,Standardna gradnja,102000
21094,Novi Beograd Blok 25 (Arena),73.0,4.0,True,Centralno,2.0,False,True,Standardna gradnja,150000
21097,Beograd na vodi,65.0,4.0,False,Centralno,2.0,False,True,Novogradnja,199990
21099,Lekino brdo,60.0,3.0,True,Centralno,2.0,False,True,Izvorno stanje,97000
21102,Braće Jerković,49.0,9.0,False,Centralno,2.0,False,True,Standardna gradnja,70000
21105,Sremčica,62.0,1.0,True,Ostalo,2.0,False,True,Standardna gradnja,31000
21133,Zemun (Centar),45.0,3.0,True,Ostalo,2.0,False,True,Izvorno stanje,125000
21135,Mirijevo I,50.0,3.0,True,Centralno,2.0,False,True,Standardna gradnja,81000
21136,Skadarlija,50.0,3.0,True,Centralno,2.0,False,True,Standardna gradnja,140000
21137,Vračar (Centar),64.0,2.0,True,Centralno,2.0,False,True,Izvorno stanje,185000
21138,Novi Beograd Blok 7 (Paviljoni),65.0,4.0,True,Centralno,2.0,False,True,Standardna gradnja,110000
21139,Stari Grad,51.0,0.0,True,Ostalo,2.0,False,False,Standardna gradnja,127900
21141,Palata pravde,41.0,1.0,True,Centralno,2.0,False,True,Standardna gradnja,117000
21142,Banjica,40.0,0.0,True,Ostalo,2.0,False,False,Novogradnja,64000
21143,Beograd na vodi,69.0,1.0,True,Centralno,2.0,True,True,Standardna gradnja,143000
21144,Zemun (Save Kovačevića),66.0,2.0,True,Centralno,2.0,False,True,Standardna gradnja,95000
21145,Zemun (Kej),51.0,1.0,True,Ostalo,2.0,False,False,Standardna gradnja,117000
21146,Ledine,36.0,0.0,False,"Klima, Ostalo",2.0,False,True,Standardna gradnja,39600
21172,Đeram pijaca,51.0,6.0,True,Centralno,2.0,False,False,Standardna gradnja,96000
21173,Novi Beograd Blok 44 (Piramida),66.0,0.0,True,"Klima, Centralno",2.0,False,True,Izvorno stanje,99000
21175,Zemun (Centar),97.0,0.0,True,Ostalo,2.0,False,False,Standardna gradnja,149000
21177,Višnjička banja,81.0,3.0,False,Centralno,4.0,False,True,Novogradnja,110800
21180,Kalenić pijaca,110.0,1.0,True,Ostalo,4.0,False,True,Izvorno stanje,320000
21181,Hadžipopovac,94.0,4.0,True,"Klima, Centralno",4.0,False,True,Novogradnja,180000
21182,Gornji Dorćol,106.0,3.0,True,"Klima, Centralno",4.0,False,True,Standardna gradnja,318000
21184,Mirijevo I,50.0,4.0,True,"Klima, Ostalo",3.0,False,True,Novogradnja,72000
21185,Lion,47.0,0.0,True,"Klima, Centralno",2.0,False,True,Novogradnja,99000
